task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
2462	0d/86b165	1710719	run_lars (20 (10))	CACHED	0	2018-12-06 00:24:48.879	10s	2.5s	83.7%	47.4 MB	501.6 MB	7.4 MB	32 B
1837	ae/712611	1708902	run_lars (20 (1))	CACHED	0	2018-12-05 17:59:37.871	10s	1.5s	81.1%	47.3 MB	501.4 MB	7.4 MB	32 B
1960	e0/678049	1709082	run_hsic_lasso (20, B = 5 (4))	CACHED	0	2018-12-05 18:49:52.995	57m 45s	3m 2s	180.4%	584 MB	3.2 GB	44.4 MB	54.3 KB
2464	3e/4503e7	1710720	run_hsic_lasso (20, B = 5 (10))	CACHED	0	2018-12-06 00:24:53.900	45m 5s	6m 21s	47.4%	440.8 MB	3 GB	44.4 MB	54.3 KB
2346	24/98b1fc	1710572	run_mrmr (20 (8))	CACHED	0	2018-12-05 23:01:28.701	1h 22m 35s	9.6s	94.0%	91.1 MB	408.1 MB	42.6 MB	15.5 MB
1961	d4/483b2e	1709086	run_hsic_lasso (20, B = 10 (4))	CACHED	0	2018-12-05 18:51:02.996	56m 35s	1m 52s	740.3%	1010.7 MB	3.6 GB	44.4 MB	54.8 KB
2463	e7/6bf764	1710724	run_hsic_lasso (20, B = 0 (10))	CACHED	0	2018-12-06 00:25:13.926	58m	3m 22s	2091.1%	28.6 GB	31.5 GB	44.4 MB	54.3 KB
1988	63/7dc670	1709133	run_mrmr (20 (3))	CACHED	0	2018-12-05 19:00:33.025	59m	23.3s	78.1%	91.2 MB	408.2 MB	42.6 MB	15.5 MB
2445	8a/73c96a	1710694	run_hsic_lasso (20, B = 10 (9))	CACHED	0	2018-12-06 00:04:33.829	58m 15s	2m 34s	371.3%	1011.2 MB	3.6 GB	44.4 MB	54.3 KB
2021	76/b4be3c	1709168	run_hsic_lasso (20, B = 10 (5))	CACHED	0	2018-12-05 19:18:38.087	50m 25s	2m 51s	501.4%	1016.9 MB	3.6 GB	44.4 MB	54.3 KB
1838	61/8831fc	1708897	run_mrmr (20 (1))	CACHED	0	2018-12-05 17:58:57.871	46m 15s	32.5s	30.5%	91.2 MB	408.2 MB	42.6 MB	15.5 MB
