task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
1958	08/9168a9	1709088	run_mrmr (20 (4))	CACHED	0	2018-12-05 18:51:33.016	55m 5s	14.6s	62.5%	91.1 MB	408.1 MB	42.6 MB	15.5 MB
969	16/38887e	1761813	run_lars (10 (7))	CACHED	0	2018-12-11 06:43:16.974	9.9s	929ms	683.3%	37.1 MB	1.7 GB	4 MB	504 B
870	fe/6b86fd	1761716	run_mrmr (10 (4))	CACHED	0	2018-12-11 06:22:11.949	21m 55s	9.3s	220.8%	84 MB	1.2 GB	42.6 MB	15.5 MB
385	4d/6fe843	1760012	run_lars (20 (7))	CACHED	0	2018-12-10 23:38:26.201	8.7s	1.2s	528.7%	23.7 MB	1.6 GB	3.9 MB	0
644	6c/2803de	1760574	run_mrmr (10 (1))	CACHED	0	2018-12-11 04:55:01.626	1h 4m 55s	21.8s	48.7%	69 MB	1.2 GB	27.1 MB	15.5 MB
243	fe/f9e385	1760199	run_mrmr (5 (1))	CACHED	0	2018-12-10 23:39:15.901	4h 12m 10s	3.6s	251.2%	68.8 MB	1.2 GB	27.1 MB	4 MB
882	5d/7c97f6	1761686	run_mrmr (10 (5))	CACHED	0	2018-12-11 06:21:16.966	22m	3.8s	824.2%	32.9 MB	1.2 GB	7.5 MB	0
57	b9/19a528	1760133	run_lars (5 (4))	CACHED	0	2018-12-10 23:39:08.072	9.1s	1.7s	326.8%	19.3 MB	1.5 GB	2.6 MB	0
384	e7/04108e	1760010	run_lars (20 (3))	CACHED	0	2018-12-10 23:38:26.103	8.8s	1.2s	1106.4%	24.6 MB	1.6 GB	8 MB	0
616	5f/c53529	1760467	run_lars (5 (10))	CACHED	0	2018-12-11 03:51:46.595	10s	825ms	1249.1%	24.6 MB	1.6 GB	4 MB	0
610	0b/e2ad42	1760536	run_mrmr (5 (6))	CACHED	0	2018-12-11 04:16:26.503	1h 42m 15s	2.9s	1493.8%	44 MB	1.2 GB	26.6 MB	0
985	56/e68eb2	1761842	run_lars (10 (6))	CACHED	0	2018-12-11 06:45:11.938	10s	820ms	1298.8%	66.1 MB	1.6 GB	27.1 MB	0
861	61/c81053	1761327	run_lars (10 (5))	CACHED	0	2018-12-11 05:55:36.853	10.1s	629ms	1480.9%	26.6 MB	1.6 GB	8 MB	0
62	c8/993fd7	1760196	run_mrmr (5 (4))	CACHED	0	2018-12-10 23:39:15.768	4h 12m 6s	3.5s	588.6%	64.2 MB	1.2 GB	27 MB	0
2346	24/98b1fc	1710572	run_mrmr (20 (8))	CACHED	0	2018-12-05 23:01:28.701	1h 22m 35s	9.6s	94.0%	91.1 MB	408.1 MB	42.6 MB	15.5 MB
176	74/fd3d88	1760207	run_mrmr (5 (5))	CACHED	0	2018-12-10 23:39:16.235	4h 12m 20s	3.8s	267.3%	67.1 MB	1.2 GB	27.1 MB	0
1838	61/8831fc	1708897	run_mrmr (20 (1))	CACHED	0	2018-12-05 17:58:57.871	46m 15s	32.5s	30.5%	91.2 MB	408.2 MB	42.6 MB	15.5 MB
2333	ea/d6db20	1710560	run_mrmr (20 (7))	CACHED	0	2018-12-05 22:57:18.635	1h 10s	16.7s	88.6%	91.2 MB	408.2 MB	42.6 MB	15.5 MB
397	52/19f4ea	1760019	run_lars (20 (10))	CACHED	-	2018-12-10 23:38:26.487	-	-	-	-	-	-	-
225	55/43e6d4	1760153	run_lars (5 (3))	CACHED	0	2018-12-10 23:39:09.073	8.7s	1.5s	540.7%	23.7 MB	1.5 GB	4 MB	0
1089	e5/bdc009	1761934	run_mrmr (10 (10))	CACHED	0	2018-12-11 06:58:16.974	23m 40s	5.1s	159.8%	18.2 MB	1.1 GB	2.8 MB	0
622	1b/81da1b	1760469	run_lars (5 (9))	CACHED	0	2018-12-11 03:51:51.429	10s	866ms	620.3%	30.5 MB	1.6 GB	8 MB	0
502	38/aefc26	1760406	run_lars (5 (7))	CACHED	0	2018-12-11 03:50:41.509	10.2s	818ms	626.8%	58.9 MB	1.6 GB	27.1 MB	0
608	8e/0a72fa	1760040	run_lars (5 (2))	CACHED	-	2018-12-10 23:38:27.407	-	-	-	-	-	-	-
389	a1/2eca3a	1760013	run_lars (20 (2))	CACHED	0	2018-12-10 23:38:26.240	8.7s	1.3s	624.3%	24.6 MB	1.6 GB	4 MB	0
853	a0/1b1778	1761715	run_lars (10 (4))	CACHED	0	2018-12-11 06:22:11.908	9.9s	1s	731.8%	36.9 MB	1.6 GB	27.1 MB	0
217	72/96fd2c	1760107	run_lars (5 (1))	CACHED	0	2018-12-10 23:39:06.912	9.2s	1.6s	278.2%	21.7 MB	1.5 GB	3.4 MB	0
765	19/f78f67	1761597	run_lars (10 (3))	CACHED	0	2018-12-11 06:14:41.863	10s	981ms	1048.9%	48.1 MB	1.6 GB	27.1 MB	122 B
