model	samples	features	causal	selected	i	tpr
HSIC_lasso-B=60-M=1	1000	2500	20	50	6	0.55
HSIC_lasso-B=60-M=1	1000	2500	20	50	7	0.5
HSIC_lasso-B=60-M=1	1000	2500	20	50	8	0.5
HSIC_lasso-B=60-M=1	1000	2500	20	50	9	0.5
HSIC_lasso-B=60-M=3	1000	2500	20	50	10	0.65
HSIC_lasso-B=60-M=3	1000	2500	20	50	1	0.65
HSIC_lasso-B=60-M=3	1000	2500	20	50	2	0.7
HSIC_lasso-B=60-M=3	1000	2500	20	50	3	0.65
HSIC_lasso-B=60-M=3	1000	2500	20	50	4	0.55
HSIC_lasso-B=60-M=3	1000	2500	20	50	5	0.55
HSIC_lasso-B=60-M=3	1000	2500	20	50	6	0.8
HSIC_lasso-B=60-M=3	1000	2500	20	50	7	0.65
HSIC_lasso-B=60-M=3	1000	2500	20	50	8	0.7
HSIC_lasso-B=60-M=3	1000	2500	20	50	9	0.7
HSIC_lasso-B=60-M=5	1000	2500	20	50	10	0.75
HSIC_lasso-B=60-M=5	1000	2500	20	50	1	0.7
HSIC_lasso-B=60-M=5	1000	2500	20	50	2	0.7
HSIC_lasso-B=60-M=5	1000	2500	20	50	3	0.7
HSIC_lasso-B=60-M=5	1000	2500	20	50	4	0.65
HSIC_lasso-B=60-M=5	1000	2500	20	50	5	0.65
HSIC_lasso-B=60-M=5	1000	2500	20	50	6	0.8
HSIC_lasso-B=60-M=5	1000	2500	20	50	7	0.65
HSIC_lasso-B=60-M=5	1000	2500	20	50	8	0.75
HSIC_lasso-B=60-M=5	1000	2500	20	50	9	0.8
LARS	1000	2500	20	20	10	0.0
LARS	1000	2500	20	20	1	0.2
LARS	1000	2500	20	20	2	0.0
LARS	1000	2500	20	20	3	0.15
LARS	1000	2500	20	20	4	0.1
LARS	1000	2500	20	20	5	0.0
LARS	1000	2500	20	20	6	0.2
LARS	1000	2500	20	20	7	0.15
LARS	1000	2500	20	20	8	0.0
LARS	1000	2500	20	20	9	0.1
mRMR	1000	2500	20	20	10	0.15
mRMR	1000	2500	20	20	1	0.15
mRMR	1000	2500	20	20	2	0.15
mRMR	1000	2500	20	20	3	0.15
mRMR	1000	2500	20	20	4	0.2
mRMR	1000	2500	20	20	5	0.15
mRMR	1000	2500	20	20	6	0.15
mRMR	1000	2500	20	20	7	0.1
mRMR	1000	2500	20	20	8	0.15
mRMR	1000	2500	20	20	9	0.25
