task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
29	af/09f20a	1784518	simulate_data (29)	CACHED	0	2018-12-14 08:34:45.102	9.5s	472ms	851.1%	27.7 MB	1.5 GB	3.5 MB	0
27	9e/7cd1a8	1784516	simulate_data (27)	CACHED	0	2018-12-14 08:34:44.999	9.6s	471ms	1213.1%	22.9 MB	1.5 GB	3.5 MB	21 MB
23	d2/d5b263	1784535	simulate_data (23)	CACHED	0	2018-12-14 08:34:45.819	12.6s	644ms	423.8%	33.1 MB	1.5 GB	3.5 MB	0
26	17/a39f8c	1784522	simulate_data (26)	CACHED	0	2018-12-14 08:34:45.268	9.5s	936ms	270.1%	26.4 MB	1.5 GB	3.5 MB	0
22	b1/e3e400	1784544	simulate_data (22)	CACHED	0	2018-12-14 08:34:46.193	12.6s	581ms	515.2%	36.7 MB	1.5 GB	3.5 MB	0
28	e3/0395e6	1784527	simulate_data (28)	CACHED	0	2018-12-14 08:34:45.472	12.6s	833ms	332.6%	24.9 MB	1.5 GB	3.5 MB	0
21	3d/8bb7a9	1784543	simulate_data (21)	CACHED	0	2018-12-14 08:34:46.153	12.6s	567ms	433.6%	38 MB	1.5 GB	3.5 MB	0
25	39/98caa7	1784530	simulate_data (25)	CACHED	0	2018-12-14 08:34:45.600	12.6s	692ms	1197.6%	31.6 MB	1.5 GB	3.5 MB	0
24	a2/8bbea1	1784517	simulate_data (24)	CACHED	0	2018-12-14 08:34:45.058	9.6s	542ms	1099.6%	39.6 MB	1.5 GB	3.5 MB	128 B
30	77/edc1c8	1784540	simulate_data (30)	CACHED	0	2018-12-14 08:34:46.021	12.6s	406ms	1385.1%	23.1 MB	1.5 GB	3.5 MB	21 MB
34	7a/ce48f9	1784659	run_lars (20 (5))	CACHED	0	2018-12-14 08:36:42.147	9.3s	811ms	826.2%	63.8 MB	1.7 GB	27.1 MB	5.8 KB
35	4a/17ae5d	1784663	run_lars (20 (10))	CACHED	0	2018-12-14 08:36:42.321	9.2s	911ms	676.2%	45.2 MB	1.6 GB	27.1 MB	0
22	67/b5f1cd	1784656	run_lars (20 (3))	CACHED	0	2018-12-14 08:36:42.023	9.3s	687ms	994.1%	48.1 MB	1.6 GB	27.1 MB	0
45	bc/466f0e	1784547	run_lars (20 (4))	CACHED	0	2018-12-14 08:34:54.785	4.1s	620ms	875.0%	63.8 MB	1.7 GB	27.1 MB	6 KB
19	f9/2bfdb4	1784665	run_lars (20 (8))	CACHED	0	2018-12-14 08:36:42.411	9.1s	940ms	633.0%	42.9 MB	1.6 GB	24 MB	0
59	58/533d5f	1784550	run_lars (20 (9))	CACHED	0	2018-12-14 08:34:54.915	9.8s	708ms	1161.6%	54.2 MB	1.6 GB	27.1 MB	0
31	04/55fd53	1784546	run_lars (20 (7))	CACHED	0	2018-12-14 08:34:54.741	9.9s	582ms	1151.4%	16.4 MB	1.5 GB	2.1 MB	0
25	09/c8fff0	1784662	run_lars (20 (1))	CACHED	0	2018-12-14 08:36:42.271	9.2s	979ms	671.0%	27.6 MB	1.6 GB	4 MB	0
115	d1/57d7e5	1784643	run_lars (20 (6))	CACHED	0	2018-12-14 08:34:58.834	10.8s	738ms	679.2%	60.9 MB	1.6 GB	27.1 MB	0
24	c0/9129cc	1784667	run_mrmr (20 (3))	CACHED	0	2018-12-14 08:36:42.492	1m 39s	8.1s	560.6%	83.9 MB	1.2 GB	42.6 MB	15.5 MB
23	b6/cad116	1784668	run_mrmr (20 (8))	CACHED	0	2018-12-14 08:36:42.541	1m 39s	7.9s	1179.6%	80.3 MB	1.2 GB	42.6 MB	15.5 MB
30	21/967f35	1784657	run_mrmr (20 (6))	CACHED	0	2018-12-14 08:36:42.063	1m 39s	8.2s	295.7%	84.1 MB	1.2 GB	42.6 MB	15.5 MB
14	f9/2c5a53	1784664	run_mrmr (20 (9))	CACHED	0	2018-12-14 08:36:42.368	1m 39s	8.1s	297.2%	84.1 MB	1.2 GB	42.6 MB	15.5 MB
16	44/e51de0	1784655	run_mrmr (20 (4))	CACHED	0	2018-12-14 08:36:41.980	1m 39s	8.2s	334.5%	83.9 MB	1.2 GB	42.6 MB	15.5 MB
13	d9/9a3fbf	1784653	run_mrmr (20 (2))	CACHED	0	2018-12-14 08:36:41.878	1m 39s	8.2s	1688.8%	83.9 MB	1.2 GB	42.6 MB	15.5 MB
38	7a/92bdc4	1784654	run_mrmr (20 (10))	CACHED	0	2018-12-14 08:36:41.937	1m 39s	8.1s	293.0%	83.9 MB	1.2 GB	42.6 MB	15.5 MB
31	20/cb63ed	1784660	run_mrmr (20 (7))	CACHED	0	2018-12-14 08:36:42.188	1m 39s	8.3s	291.0%	84.1 MB	1.2 GB	42.6 MB	15.5 MB
33	5e/5f4ee1	1784661	run_mrmr (20 (5))	CACHED	0	2018-12-14 08:36:42.231	1m 39s	8.1s	271.1%	83.9 MB	1.2 GB	42.6 MB	15.5 MB
27	16/1ca759	1784666	run_mrmr (20 (1))	CACHED	0	2018-12-14 08:36:42.452	1m 39s	8.1s	423.1%	80.3 MB	1.2 GB	42.6 MB	15.5 MB
20	06/f40d35	1784658	run_lars (20 (2))	CACHED	0	2018-12-14 08:36:42.106	9.3s	819ms	777.1%	63.8 MB	1.7 GB	27.1 MB	6.9 KB
257	3b/f4f10c	1785956	run_hsic_lasso (20, B = 10, M = 5 (9))	CACHED	0	2018-12-14 17:41:07.237	27m 35s	2m 24s	1149.9%	4.6 GB	49.9 GB	1.1 GB	489.8 MB
251	c0/06e1e6	1785949	run_hsic_lasso (20, B = 5, M = 1 (9))	CACHED	0	2018-12-14 17:38:12.184	26m 50s	15.6s	1378.7%	3.3 GB	48.5 GB	677.7 MB	58.7 MB
289	15/5e8dca	1785980	run_hsic_lasso (20, B = 60, M = 3 (7))	CACHED	0	2018-12-14 17:48:47.314	20m 55s	1m 47s	2285.0%	8.9 GB	54.3 GB	2.3 GB	1.7 GB
285	63/c01e43	1785985	run_hsic_lasso (20, B = 30, M = 3 (7))	CACHED	0	2018-12-14 17:48:57.227	25m 25s	30.3s	1898.2%	6.3 GB	51.7 GB	1.5 GB	870.6 MB
271	a4/4ed096	1785962	run_hsic_lasso (20, B = 5, M = 1 (7))	CACHED	0	2018-12-14 17:45:32.217	22m 45s	2m 1s	348.7%	3.2 GB	48.4 GB	696.2 MB	59.9 MB
283	f8/e8bea4	1785975	run_hsic_lasso (20, B = 15, M = 2 (7))	CACHED	0	2018-12-14 17:48:42.216	20m 5s	1m 34s	485.2%	4.1 GB	49.4 GB	941.4 MB	298.5 MB
253	7a/62c1b2	1785944	run_hsic_lasso (20, B = 5, M = 3 (9))	CACHED	0	2018-12-14 17:37:47.269	26m 20s	1m 8s	790.9%	3.7 GB	49 GB	798.7 MB	155.9 MB
286	12/cc9c12	1785974	run_hsic_lasso (20, B = 30, M = 5 (7))	CACHED	0	2018-12-14 17:48:32.218	20m 45s	2m	1286.6%	7.6 GB	53 GB	2 GB	1.4 GB
277	18/c3bcc1	1785970	run_hsic_lasso (20, B = 10, M = 3 (7))	CACHED	0	2018-12-14 17:46:22.338	22m 25s	1m 30s	651.5%	3.5 GB	48.8 GB	941.6 MB	298.9 MB
254	b3/27072f	1785948	run_hsic_lasso (20, B = 5, M = 5 (9))	CACHED	0	2018-12-14 17:38:07.184	26m 45s	36s	1743.8%	3.9 GB	49.2 GB	894.1 MB	251.1 MB
