model	samples	features	causal	selected	i	tpr
HSIC_lasso_covars-B=10-M=3	1000	2500	5	50	9	0.4
HSIC_lasso_covars-B=10-M=3	1000	5000	5	50	10	1.0
HSIC_lasso_covars-B=10-M=3	1000	5000	5	50	1	0.8
HSIC_lasso_covars-B=10-M=3	1000	5000	5	50	2	0.6
HSIC_lasso_covars-B=10-M=3	1000	5000	5	50	3	0.8
HSIC_lasso_covars-B=10-M=3	1000	5000	5	50	4	0.8
HSIC_lasso_covars-B=10-M=3	1000	5000	5	50	5	0.8
HSIC_lasso_covars-B=10-M=3	1000	5000	5	50	6	0.8
HSIC_lasso_covars-B=10-M=3	1000	5000	5	50	7	0.8
HSIC_lasso_covars-B=10-M=3	1000	5000	5	50	8	0.6
HSIC_lasso_covars-B=10-M=3	1000	5000	5	50	9	0.4
HSIC_lasso_covars-B=10-M=3	100	10000	5	50	1	0.0
HSIC_lasso_covars-B=10-M=3	100	10000	5	50	10	0.4
HSIC_lasso_covars-B=10-M=3	100	10000	5	50	2	0.4
HSIC_lasso_covars-B=10-M=3	100	10000	5	50	3	0.2
HSIC_lasso_covars-B=10-M=3	100	10000	5	50	4	0.4
HSIC_lasso_covars-B=10-M=3	100	10000	5	50	5	0.4
HSIC_lasso_covars-B=10-M=3	100	10000	5	50	6	0.2
HSIC_lasso_covars-B=10-M=3	100	10000	5	50	7	0.0
HSIC_lasso_covars-B=10-M=3	100	10000	5	50	8	0.2
HSIC_lasso_covars-B=10-M=3	100	10000	5	50	9	0.0
HSIC_lasso_covars-B=10-M=3	100	1000	5	32	3	0.2
HSIC_lasso_covars-B=10-M=3	100	1000	5	33	10	0.4
HSIC_lasso_covars-B=10-M=3	100	1000	5	33	6	0.2
HSIC_lasso_covars-B=10-M=3	100	1000	5	36	8	0.2
HSIC_lasso_covars-B=10-M=3	100	1000	5	37	5	0.4
HSIC_lasso_covars-B=10-M=3	100	1000	5	39	2	0.2
HSIC_lasso_covars-B=10-M=3	100	1000	5	43	1	0.6
HSIC_lasso_covars-B=10-M=3	100	1000	5	45	7	0.2
HSIC_lasso_covars-B=10-M=3	100	1000	5	48	9	0.2
HSIC_lasso_covars-B=10-M=3	100	1000	5	50	4	0.4
HSIC_lasso_covars-B=10-M=3	100	2500	5	46	6	0.2
HSIC_lasso_covars-B=10-M=3	100	2500	5	47	3	0.2
HSIC_lasso_covars-B=10-M=3	100	2500	5	48	4	0.4
HSIC_lasso_covars-B=10-M=3	100	2500	5	48	8	0.0
HSIC_lasso_covars-B=10-M=3	100	2500	5	50	1	0.0
HSIC_lasso_covars-B=10-M=3	100	2500	5	50	10	0.0
